tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CTRL_OI,int4,gsm8k,gsm8k_test_0,"[1, 2, 5, 3, 4, 3, 4, 6, 3, 6, 5, 4, 4, 5, 2, 2, 3, 2, 2, 4, 3, 3, 3, 2, 2, 6, 2, 3, 3, 2, 3, 4, 4, 4, 3, 6, 4, 3]",38,4.613
CTRL_OI,int4,gsm8k,gsm8k_test_1,"[1, 2, 3, 6, 5, 3, 6, 6, 2, 6, 6, 2, 2, 3, 5, 4, 2, 4, 4, 4, 6, 5, 1, 4, 2, 4, 4, 4, 5, 5, 3, 4, 3, 4]",34,3.722
CTRL_OI,int4,gsm8k,gsm8k_test_2,"[1, 2, 1, 2, 4, 3, 4, 3, 4, 4, 5, 2, 6, 6, 2, 1, 1, 4, 4, 4, 2, 3, 4, 3, 4, 4, 6, 6, 4, 6, 5, 6, 6, 3, 6]",35,3.821
CTRL_OI,int4,gsm8k,gsm8k_test_3,"[3, 4, 4, 4, 5, 3, 2, 6, 4, 3, 3, 1, 1, 4, 4, 4, 4, 3, 3, 2, 1, 5, 4, 6, 3, 3, 5, 6, 3, 3, 1, 4, 4, 2, 3, 6, 3]",37,3.997
CTRL_OI,int4,gsm8k,gsm8k_test_4,"[1, 1, 5, 4, 2, 3, 3, 3, 6, 2, 4, 1, 2, 6, 4, 3, 2, 1, 3, 6, 4, 5, 2, 4, 4, 6, 5, 3, 6, 5, 6, 6, 6, 4]",34,3.689
CTRL_OI,int4,gsm8k,gsm8k_test_5,"[5, 5, 4, 4, 4, 4, 6, 3, 4, 3, 4, 5, 3, 5, 5, 5, 3, 5, 6, 6, 2, 2, 5, 4, 6, 4, 3, 5, 4, 6]",30,3.268
CTRL_OI,int4,gsm8k,gsm8k_test_6,"[3, 4, 4, 4, 1, 3, 2, 3, 1, 2, 6, 2, 2, 6, 4, 1, 3, 6, 2, 4, 4, 4, 3, 5, 3, 3, 1, 3, 2, 6, 5, 5, 6, 4, 2, 2, 5, 4]",38,4.121
CTRL_OI,int4,gsm8k,gsm8k_test_7,"[1, 2, 1, 6, 5, 6, 5, 3, 3, 4, 2, 6, 6, 3, 6, 6, 3, 2, 3, 3, 4, 5, 2, 4, 2, 2, 3, 2, 3, 2, 6, 5, 3, 1, 3, 2, 2, 1]",38,4.161
CTRL_OI,int4,gsm8k,gsm8k_test_8,"[1, 2, 2, 4, 4, 2, 3, 3, 2, 4, 3, 4, 2, 6, 6, 2, 1, 1, 3, 5, 4, 2, 4, 5, 4, 6, 5, 3, 4, 4, 5, 4, 6, 2, 5, 6]",36,3.896
CTRL_OI,int4,gsm8k,gsm8k_test_9,"[5, 5, 6, 4, 3, 4, 2, 6, 6, 5, 6, 2, 6, 5, 4, 5, 4, 4, 5, 6, 5, 4, 4, 5, 6, 3, 5, 6]",28,3.052
CTRL_OI,int4,gsm8k,gsm8k_test_10,"[5, 5, 3, 4, 4, 4, 5, 4, 6, 2, 5, 1, 5, 3, 5, 5, 2, 6, 4, 1, 5, 6, 2, 2, 4, 4, 4, 5, 4, 4, 2, 3, 6]",33,3.571
CTRL_OI,int4,gsm8k,gsm8k_test_11,"[2, 4, 5, 2, 4, 4, 3, 4, 4, 4, 3, 3, 5, 1, 1, 4, 2, 2, 3, 2, 4, 4, 6, 4, 4, 4, 6, 4, 2, 4, 4, 6, 2, 2, 5, 3, 6]",37,3.975
CTRL_OI,int4,gsm8k,gsm8k_test_12,"[1, 2, 1, 2, 6, 3, 2, 3, 6, 6, 2, 6, 6, 3, 3, 4, 2, 3, 3, 2, 6, 6, 5, 5, 6, 6, 4, 4, 3, 6, 5, 3, 5]",33,3.567
CTRL_OI,int4,gsm8k,gsm8k_test_13,"[5, 5, 6, 4, 3, 4, 4, 1, 4, 3, 5, 3, 1, 2, 2, 6, 4, 6, 4, 2, 6, 6, 3, 4, 2, 3, 5, 4, 4, 3, 3, 4, 6, 4]",34,3.73
CTRL_OI,int4,gsm8k,gsm8k_test_14,"[2, 4, 5, 4, 4, 4, 5, 3, 2, 3, 2, 4, 2, 2, 5, 3, 6, 3, 2, 4, 4, 4, 5, 5, 4, 6, 3, 4, 4, 3, 3, 4, 3, 4, 5]",35,3.823
CTRL_OI,int4,gsm8k,gsm8k_test_15,"[5, 5, 3, 4, 4, 4, 2, 4, 4, 3, 4, 1, 4, 2, 4, 3, 4, 3, 4, 4, 4, 4, 1, 1, 1, 6, 5, 4, 4, 3, 1, 6, 2, 2, 6, 6, 4]",37,3.981
CTRL_OI,int4,gsm8k,gsm8k_test_16,"[1, 1, 4, 4, 4, 4, 4, 3, 6, 6, 1, 2, 2, 6, 2, 4, 2, 4, 2, 4, 2, 2, 3, 4, 6, 4, 4, 3, 4, 4, 6, 6, 2, 6, 3, 4]",36,3.911
CTRL_OI,int4,gsm8k,gsm8k_test_17,"[1, 2, 2, 5, 1, 4, 1, 3, 4, 4, 5, 2, 6, 6, 5, 4, 6, 2, 2, 4, 1, 2, 3, 6, 4, 4, 4, 5, 4, 6, 4, 4, 5, 3, 4]",35,3.798
CTRL_OI,int4,gsm8k,gsm8k_test_18,"[3, 4, 2, 4, 1, 3, 2, 1, 4, 5, 2, 4, 3, 4, 4, 3, 2, 4, 2, 3, 5, 5, 1, 4, 1, 3, 6, 5, 6, 2, 4, 1, 3, 2, 2, 1, 6, 3, 5, 3]",40,4.297
CTRL_OI,int4,gsm8k,gsm8k_test_19,"[1, 2, 5, 6, 5, 3, 4, 4, 4, 3, 6, 5, 4, 4, 5, 2, 3, 3, 2, 5, 2, 2, 1, 5, 2, 3, 4, 2, 1, 2, 4, 3, 3, 3, 3, 1, 4, 2, 6]",39,4.227
CTRL_OI,int4,gsm8k,gsm8k_test_20,"[1, 2, 6, 6, 1, 5, 4, 6, 4, 6, 4, 3, 3, 4, 5, 5, 5, 6, 3, 4, 5, 2, 4, 1, 3, 2, 5, 2, 4, 6, 3, 6, 3]",33,3.586
CTRL_OI,int4,gsm8k,gsm8k_test_21,"[2, 4, 4, 2, 5, 4, 3, 4, 2, 2, 2, 2, 3, 2, 2, 3, 4, 6, 3, 3, 5, 2, 4, 4, 5, 4, 5, 4, 5, 5, 4, 4, 5, 4, 4, 5]",36,3.936
CTRL_OI,int4,gsm8k,gsm8k_test_22,"[1, 2, 1, 2, 4, 2, 2, 3, 3, 5, 3, 2, 3, 6, 6, 2, 1, 4, 5, 4, 4, 4, 4, 4, 2, 3, 6, 4, 3, 5, 6, 6, 4, 5, 4, 3]",36,3.924
CTRL_OI,int4,gsm8k,gsm8k_test_23,"[2, 6, 4, 4, 3, 3, 4, 2, 4, 1, 5, 6, 5, 4, 6, 5, 6, 6, 2, 4, 4, 3, 4, 5, 6, 4, 1, 6, 6, 5, 5]",31,3.431
CTRL_OI,int4,gsm8k,gsm8k_test_24,"[2, 6, 4, 3, 3, 1, 5, 3, 4, 2, 3, 3, 1, 5, 4, 4, 2, 2, 6, 1, 2, 4, 2, 2, 4, 3, 3, 3, 4, 5, 4, 6, 2, 6, 4, 5, 3, 3]",38,4.146
CTRL_OI,int4,gsm8k,gsm8k_test_25,"[1, 2, 4, 6, 3, 6, 3, 4, 3, 4, 4, 3, 6, 4, 4, 3, 4, 2, 3, 6, 4, 6, 5, 4, 4, 6, 6, 1, 6, 4, 5, 2]",32,3.476
CTRL_OI,int4,gsm8k,gsm8k_test_26,"[5, 5, 6, 4, 3, 3, 6, 2, 3, 5, 2, 1, 5, 3, 4, 6, 3, 1, 3, 2, 2, 6, 3, 2, 6, 6, 4, 6, 5, 6, 4, 3, 6]",33,3.591
CTRL_OI,int4,gsm8k,gsm8k_test_27,"[1, 2, 4, 4, 4, 6, 3, 5, 3, 2, 4, 3, 4, 4, 3, 4, 3, 1, 2, 6, 2, 2, 3, 5, 3, 4, 4, 2, 2, 5, 3, 2, 4, 2, 2, 6, 4, 6]",38,4.11
CTRL_OI,int4,gsm8k,gsm8k_test_28,"[2, 5, 4, 4, 3, 2, 2, 3, 3, 4, 5, 6, 4, 3, 4, 6, 6, 5, 3, 4, 4, 2, 3, 2, 3, 3, 4, 2, 2, 2, 1, 6, 6, 1, 4, 3, 2]",37,3.997
CTRL_OI,int4,gsm8k,gsm8k_test_29,"[1, 2, 2, 4, 4, 5, 4, 6, 4, 3, 6, 5, 1, 6, 4, 3, 2, 2, 4, 3, 4, 4, 4, 2, 3, 6, 3, 4, 2, 2, 6, 5, 3, 1, 4, 4]",36,3.889
CTRL_OI,int4,gsm8k,gsm8k_test_30,"[2, 3, 6, 3, 4, 4, 5, 4, 5, 4, 5, 1, 4, 1, 1, 3, 2, 3, 5, 2, 4, 3, 4, 6, 6, 4, 3, 6, 5, 4, 2, 6, 2, 4, 5]",35,3.772
CTRL_OI,int4,gsm8k,gsm8k_test_31,"[2, 4, 5, 3, 4, 5, 2, 6, 5, 1, 3, 2, 4, 2, 6, 3, 3, 2, 1, 6, 6, 4, 5, 1, 2, 6, 3, 2, 3, 5, 6, 3, 5, 5, 3]",35,3.802
CTRL_OI,int4,gsm8k,gsm8k_test_32,"[1, 1, 5, 4, 4, 1, 3, 3, 6, 3, 6, 4, 2, 5, 1, 4, 6, 4, 6, 3, 3, 4, 6, 6, 2, 2, 2, 6, 1, 3, 3, 3, 3, 2, 6, 2, 3]",37,3.993
CTRL_OI,int4,gsm8k,gsm8k_test_33,"[2, 4, 5, 2, 5, 2, 4, 4, 2, 2, 3, 2, 2, 1, 4, 4, 6, 5, 5, 6, 5, 4, 3, 4, 5, 6, 3, 5, 4, 4, 4, 3, 6, 4]",34,3.685
CTRL_OI,int4,gsm8k,gsm8k_test_34,"[5, 4, 2, 6, 5, 4, 6, 5, 2, 3, 4, 4, 4, 6, 5, 6, 6, 3, 3, 6, 5, 6, 4, 3, 3, 3, 4, 4, 2, 5]",30,3.286
