tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
RESC_AH_a45.2548,int4,c4,c4_val_802,"[1, 2, 3, 2, 5, 2, 1, 2, 3, 1, 4, 4, 4, 4, 4, 4, 4, 2, 2, 1, 1, 4, 2, 2, 4, 6, 5, 3, 3, 2, 2, 2, 2, 2, 3, 2, 5, 1, 3, 2, 2, 3, 4, 2, 5, 4]",46,8.04
RESC_AH_a45.2548,int4,c4,c4_val_803,"[1, 1, 1, 3, 1, 4, 3, 2, 4, 4, 3, 3, 3, 1, 2, 3, 4, 4, 2, 1, 4, 5, 5, 3, 2, 4, 2, 2, 3, 3, 5, 2, 3, 4, 4, 3, 2, 4, 2, 2, 2, 1, 4, 3, 4]",45,7.362
RESC_AH_a45.2548,int4,c4,c4_val_804,"[1, 3, 5, 3, 2, 3, 1, 4, 5, 2, 1, 1, 3, 1, 2, 2, 2, 4, 4, 3, 1, 2, 1, 1, 1, 5, 4, 3, 4, 3, 3, 4, 2, 3, 2, 3, 4, 4, 1, 3, 2, 2, 5, 3, 4, 2, 3, 3]",48,5.916
RESC_AH_a45.2548,int4,c4,c4_val_807,"[1, 2, 2, 6, 3, 3, 5, 3, 2, 4, 2, 3, 6, 2, 2, 3, 4, 4, 6, 1, 3, 2, 1, 2, 3, 3, 2, 1, 4, 5, 2, 4, 3, 2, 3, 2, 2, 1, 4, 2, 4, 3, 2, 2, 3]",45,5.554
RESC_AH_a45.2548,int4,c4,c4_val_808,"[1, 2, 3, 3, 4, 3, 3, 2, 4, 2, 2, 4, 1, 3, 5, 2, 2, 3, 4, 1, 3, 3, 3, 4, 1, 2, 4, 5, 5, 3, 2, 2, 3, 6, 3, 4, 5, 3, 4, 4, 3, 4]",42,5.166
RESC_AH_a45.2548,int4,c4,c4_val_809,"[1, 2, 4, 2, 3, 5, 2, 2, 2, 4, 2, 2, 4, 3, 3, 4, 1, 3, 2, 3, 2, 4, 4, 4, 2, 6, 2, 5, 3, 4, 5, 2, 6, 4, 1, 3, 1, 1, 2, 2, 3, 3, 4, 4]",44,5.389
RESC_AH_a45.2548,int4,c4,c4_val_812,"[1, 3, 5, 3, 2, 4, 1, 2, 3, 5, 4, 3, 3, 4, 4, 4, 6, 5, 5, 4, 6, 4, 5, 4, 4, 6, 3, 2, 2, 2, 2, 2, 3, 3, 2, 4, 3]",37,4.55
RESC_AH_a45.2548,int4,c4,c4_val_813,"[2, 1, 2, 5, 2, 1, 2, 1, 2, 2, 1, 2, 4, 3, 3, 2, 3, 4, 1, 3, 2, 4, 4, 3, 2, 2, 4, 4, 1, 5, 5, 3, 2, 2, 3, 3, 2, 4, 5, 2, 3, 2, 3, 3, 3, 3, 2, 3]",48,5.909
RESC_AH_a45.2548,int4,c4,c4_val_815,"[1, 2, 3, 2, 3, 3, 1, 4, 3, 4, 2, 1, 3, 5, 4, 2, 4, 2, 2, 3, 5, 2, 2, 2, 1, 3, 3, 4, 3, 4, 5, 4, 3, 3, 5, 6, 4, 3, 4, 2, 2, 1, 3]",43,5.275
RESC_AH_a45.2548,int4,c4,c4_val_817,"[1, 2, 6, 2, 1, 3, 2, 3, 4, 4, 3, 2, 2, 4, 4, 3, 3, 3, 1, 1, 3, 5, 5, 1, 6, 3, 3, 2, 3, 4, 4, 2, 5, 6, 3, 4, 4, 6, 3, 2]",40,4.931
