tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
RESC_ASQ_a32,int4,c4,c4_val_802,"[1, 4, 3, 5, 2, 3, 3, 1, 2, 2, 5, 3, 2, 4, 4, 3, 3, 4, 5, 5, 4, 3, 1, 4, 2, 3, 3, 2, 3, 4, 3, 2, 5, 4, 3, 3, 2, 3, 3, 5, 5]",41,8.583
RESC_ASQ_a32,int4,c4,c4_val_803,"[1, 2, 4, 2, 6, 1, 3, 2, 4, 5, 3, 2, 3, 2, 4, 3, 4, 1, 3, 3, 4, 4, 2, 4, 1, 2, 4, 3, 3, 3, 3, 2, 4, 2, 4, 4, 4, 1, 4, 4, 1, 2, 6]",43,8.358
RESC_ASQ_a32,int4,c4,c4_val_804,"[1, 4, 4, 3, 2, 3, 1, 5, 4, 2, 4, 4, 4, 1, 2, 3, 4, 3, 3, 6, 3, 2, 2, 4, 1, 4, 3, 3, 4, 4, 3, 2, 2, 4, 5, 3, 2, 5, 3, 3, 1, 4]",42,8.188
RESC_ASQ_a32,int4,c4,c4_val_807,"[1, 2, 2, 4, 4, 3, 6, 3, 5, 4, 3, 6, 3, 4, 3, 4, 4, 4, 4, 2, 3, 1, 1, 4, 4, 2, 1, 3, 3, 4, 2, 2, 3, 4, 2, 3, 6, 4, 3, 2]",40,7.75
RESC_ASQ_a32,int4,c4,c4_val_808,"[1, 2, 2, 4, 4, 3, 3, 2, 4, 2, 3, 4, 3, 4, 1, 2, 2, 3, 5, 4, 1, 2, 2, 4, 3, 4, 6, 5, 2, 4, 3, 4, 2, 4, 4, 4, 3, 4, 4, 4, 4]",41,6.272
RESC_ASQ_a32,int4,c4,c4_val_809,"[1, 2, 6, 2, 1, 5, 2, 2, 2, 2, 2, 2, 2, 4, 3, 3, 3, 2, 2, 4, 2, 2, 2, 4, 3, 1, 3, 2, 3, 1, 5, 1, 2, 4, 1, 1, 3, 1, 2, 4, 4, 2, 4, 2, 2, 5, 3, 2, 2, 2, 4]",51,6.363
RESC_ASQ_a32,int4,c4,c4_val_812,"[1, 6, 4, 3, 3, 1, 3, 3, 6, 5, 4, 4, 5, 4, 4, 6, 3, 5, 6, 4, 1, 3, 3, 6, 6, 4, 2, 5, 4, 3, 5, 3, 1, 1, 1]",35,4.426
RESC_ASQ_a32,int4,c4,c4_val_813,"[5, 5, 3, 2, 3, 4, 1, 2, 3, 4, 3, 5, 2, 3, 6, 2, 5, 2, 3, 2, 5, 4, 4, 5, 5, 2, 1, 3, 3, 2, 5, 4, 2, 3, 3, 4, 4, 5]",38,4.756
RESC_ASQ_a32,int4,c4,c4_val_815,"[1, 2, 3, 2, 3, 5, 5, 5, 3, 3, 6, 3, 2, 3, 3, 4, 2, 2, 2, 2, 2, 4, 1, 1, 3, 2, 3, 4, 3, 5, 6, 5, 2, 3, 2, 3, 2, 4, 4, 2, 1, 2, 2, 2]",44,5.489
RESC_ASQ_a32,int4,c4,c4_val_817,"[3, 4, 4, 4, 2, 3, 4, 3, 6, 1, 6, 3, 2, 3, 4, 2, 1, 4, 5, 1, 3, 5, 3, 4, 6, 3, 3, 2, 4, 3, 4, 2, 5, 3, 3, 4, 4, 6]",38,4.792
RESC_ASQ_a32,int4,c4,c4_val_818,"[1, 4, 4, 2, 3, 4, 4, 2, 4, 2, 3, 6, 2, 3, 3, 4, 2, 1, 4, 3, 4, 3, 4, 6, 4, 5, 3, 4, 4, 3, 4, 1, 2, 3, 5, 3, 4, 3, 2]",39,4.892
RESC_ASQ_a32,int4,c4,c4_val_819,"[1, 4, 4, 2, 3, 3, 4, 2, 3, 3, 2, 2, 3, 3, 2, 4, 4, 4, 2, 4, 5, 4, 3, 4, 2, 5, 3, 1, 3, 3, 5, 2, 6, 1, 3, 3, 4, 1, 4, 3, 3, 4]",42,5.258
RESC_ASQ_a32,int4,c4,c4_val_822,"[1, 3, 4, 6, 3, 3, 5, 1, 3, 3, 5, 3, 3, 3, 3, 4, 6, 1, 2, 1, 1, 3, 5, 6, 2, 4, 2, 5, 3, 3, 1, 1, 3, 6, 4, 4, 2, 2, 3, 2, 1, 2]",42,5.274
RESC_ASQ_a32,int4,c4,c4_val_823,"[4, 5, 3, 2, 2, 3, 4, 3, 3, 6, 4, 6, 4, 5, 6, 4, 2, 4, 3, 4, 2, 5, 4, 4, 5, 2, 5, 3, 2, 4, 2, 4, 6, 1, 6]",35,4.399
RESC_ASQ_a32,int4,c4,c4_val_824,"[1, 5, 6, 3, 3, 4, 3, 2, 3, 4, 6, 2, 4, 4, 6, 6, 1, 3, 2, 4, 2, 3, 1, 3, 2, 3, 1, 4, 5, 3, 4, 4, 4, 4, 2, 6, 3, 3]",38,4.762
RESC_ASQ_a32,int4,c4,c4_val_826,"[1, 2, 6, 3, 4, 4, 2, 2, 4, 4, 6, 5, 5, 4, 4, 2, 2, 2, 2, 3, 4, 4, 3, 2, 4, 3, 4, 2, 3, 6, 2, 2, 5, 2, 2, 1, 4, 3, 2, 5]",40,5.042
RESC_ASQ_a32,int4,c4,c4_val_827,"[1, 6, 3, 4, 4, 2, 2, 6, 1, 5, 4, 5, 1, 4, 3, 2, 3, 1, 6, 3, 4, 3, 2, 3, 4, 2, 2, 4, 3, 2, 3, 2, 2, 2, 1, 4, 2, 3, 5, 3, 3, 2, 5]",43,5.386
RESC_ASQ_a32,int4,c4,c4_val_828,"[1, 5, 4, 4, 2, 5, 4, 4, 4, 3, 1, 2, 2, 3, 6, 1, 3, 3, 1, 4, 1, 2, 3, 6, 2, 5, 3, 5, 4, 2, 2, 4, 2, 1, 1, 5, 4, 3, 3, 6, 5]",41,5.112
RESC_ASQ_a32,int4,c4,c4_val_829,"[2, 4, 3, 2, 1, 4, 1, 1, 4, 3, 1, 4, 3, 3, 2, 2, 2, 3, 4, 2, 2, 3, 4, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 1, 3, 5, 4, 5, 3, 2, 2, 4, 5, 3]",45,5.632
RESC_ASQ_a32,int4,c4,c4_val_832,"[1, 2, 4, 2, 2, 1, 3, 3, 4, 2, 3, 2, 3, 3, 4, 5, 3, 3, 3, 4, 2, 5, 3, 2, 4, 4, 1, 1, 1, 2, 2, 5, 2, 1, 4, 3, 2, 2, 4, 4, 4, 6, 4, 3]",44,5.536
