tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
RESC_A_a16,int4,c4,c4_val_802,"[1, 2, 3, 2, 5, 3, 4, 2, 4, 4, 2, 2, 4, 3, 1, 3, 5, 2, 2, 1, 2, 2, 3, 2, 2, 2, 6, 4, 3, 3, 2, 1, 3, 4, 2, 2, 3, 2, 3, 2, 1, 3, 2, 3, 5, 3, 3]",47,9.331
RESC_A_a16,int4,c4,c4_val_803,"[1, 2, 3, 1, 2, 4, 3, 1, 3, 4, 3, 3, 4, 3, 2, 2, 1, 3, 3, 2, 2, 3, 4, 6, 3, 2, 4, 3, 2, 5, 4, 3, 2, 3, 3, 3, 4, 4, 2, 3, 3, 4, 2, 4]",44,8.697
RESC_A_a16,int4,c4,c4_val_804,"[1, 2, 3, 3, 2, 1, 3, 3, 4, 5, 3, 5, 2, 1, 2, 2, 2, 4, 2, 1, 3, 2, 1, 3, 3, 2, 3, 4, 2, 2, 1, 2, 4, 2, 2, 3, 4, 3, 3, 4, 2, 3, 4, 3, 5, 3, 5]",47,10.237
RESC_A_a16,int4,c4,c4_val_807,"[1, 2, 3, 4, 4, 2, 5, 4, 6, 3, 3, 4, 4, 3, 2, 3, 4, 3, 2, 2, 3, 4, 2, 4, 4, 1, 1, 2, 2, 1, 3, 1, 1, 3, 1, 3, 3, 3, 2, 4, 3, 3, 4, 3, 5]",45,9.42
RESC_A_a16,int4,c4,c4_val_808,"[1, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 3, 4, 2, 2, 4, 2, 2, 3, 5, 3, 3, 3, 2, 4, 1, 4, 4, 4, 2, 2, 3, 2, 4, 3, 3, 2, 2, 4, 2, 4, 3, 4, 2, 3, 4]",47,9.23
RESC_A_a16,int4,c4,c4_val_809,"[1, 2, 4, 2, 2, 1, 6, 3, 2, 3, 3, 2, 4, 3, 3, 4, 3, 1, 4, 3, 5, 4, 3, 2, 4, 2, 2, 3, 1, 1, 5, 3, 2, 4, 3, 4, 4, 3, 4, 2, 5, 2, 2, 3]",44,9.655
RESC_A_a16,int4,c4,c4_val_812,"[1, 4, 4, 2, 3, 4, 2, 1, 3, 5, 4, 2, 4, 4, 5, 2, 3, 4, 6, 3, 4, 5, 4, 2, 6, 4, 5, 3, 1, 2, 3, 4, 1, 1, 4, 2, 5, 6]",38,8.439
RESC_A_a16,int4,c4,c4_val_813,"[4, 1, 4, 3, 1, 2, 3, 2, 1, 2, 1, 3, 3, 3, 3, 5, 4, 3, 3, 4, 3, 3, 4, 2, 3, 3, 4, 1, 5, 3, 2, 2, 2, 4, 2, 3, 4, 3, 3, 2, 2, 5, 5, 4]",44,9.477
RESC_A_a16,int4,c4,c4_val_815,"[1, 2, 4, 4, 4, 5, 2, 4, 3, 3, 4, 2, 4, 3, 3, 3, 4, 4, 2, 3, 3, 3, 1, 4, 2, 5, 5, 2, 3, 3, 3, 5, 3, 2, 3, 3, 3, 1, 2, 1, 1, 5, 1]",43,8.923
RESC_A_a16,int4,c4,c4_val_817,"[2, 4, 3, 3, 2, 3, 2, 3, 5, 1, 3, 3, 5, 3, 3, 2, 2, 5, 3, 4, 3, 1, 2, 4, 3, 4, 4, 3, 3, 4, 4, 4, 2, 4, 4, 3, 3, 3, 3, 4, 3]",41,5.77
