tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
RESC_A_a45.2548,int4,c4,c4_val_802,"[1, 2, 3, 2, 5, 2, 3, 3, 3, 2, 4, 4, 2, 3, 4, 3, 1, 3, 3, 2, 4, 2, 2, 1, 2, 2, 3, 2, 4, 5, 1, 3, 2, 3, 2, 3, 2, 2, 3, 4, 2, 2, 2, 3, 2, 1, 4, 1, 5]",49,8.6
RESC_A_a45.2548,int4,c4,c4_val_803,"[1, 2, 4, 2, 5, 1, 1, 4, 3, 2, 4, 3, 1, 2, 3, 4, 5, 6, 3, 3, 1, 5, 5, 1, 4, 2, 1, 3, 4, 2, 2, 3, 2, 3, 3, 1, 2, 2, 3, 2, 5, 1, 4, 2, 1, 1, 3, 3]",48,8.067
RESC_A_a45.2548,int4,c4,c4_val_804,"[3, 4, 4, 2, 3, 4, 3, 5, 1, 1, 2, 3, 3, 3, 2, 2, 3, 1, 1, 6, 3, 3, 1, 3, 6, 3, 6, 1, 2, 4, 2, 6, 3, 2, 2, 2, 6, 4, 1, 2, 3, 2, 2, 1, 4]",45,7.711
RESC_A_a45.2548,int4,c4,c4_val_807,"[1, 2, 3, 5, 2, 4, 4, 4, 2, 4, 3, 3, 6, 3, 3, 3, 4, 4, 6, 1, 2, 2, 3, 4, 2, 3, 3, 1, 2, 3, 3, 3, 2, 4, 3, 6, 1, 3, 2, 2, 4, 2, 3]",43,6.445
RESC_A_a45.2548,int4,c4,c4_val_808,"[3, 5, 5, 3, 3, 2, 2, 2, 2, 2, 5, 3, 4, 1, 2, 2, 2, 3, 4, 4, 2, 2, 4, 3, 3, 5, 3, 3, 3, 2, 2, 2, 2, 3, 1, 1, 2, 3, 1, 3, 3, 3, 4, 1, 4, 4]",46,5.645
RESC_A_a45.2548,int4,c4,c4_val_809,"[1, 2, 4, 3, 2, 6, 3, 2, 2, 2, 3, 3, 4, 1, 5, 5, 4, 3, 2, 3, 2, 2, 2, 3, 3, 2, 4, 4, 3, 3, 4, 3, 2, 2, 2, 2, 3, 2, 2, 3, 5, 3, 4, 2, 2]",45,5.47
RESC_A_a45.2548,int4,c4,c4_val_812,"[1, 3, 3, 5, 2, 4, 3, 4, 4, 5, 2, 3, 4, 4, 3, 3, 2, 4, 5, 5, 4, 3, 1, 1, 4, 4, 6, 3, 4, 2, 4, 1, 2, 2, 3, 4, 4, 5, 5]",39,4.785
RESC_A_a45.2548,int4,c4,c4_val_813,"[2, 1, 2, 3, 2, 3, 2, 1, 2, 2, 1, 2, 2, 5, 3, 3, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 2, 5, 2, 2, 2, 3, 3, 2, 2, 3, 2, 4, 4, 4, 3, 3, 5]",44,5.348
RESC_A_a45.2548,int4,c4,c4_val_815,"[1, 2, 4, 3, 4, 3, 3, 2, 4, 3, 3, 4, 2, 4, 3, 4, 2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 1, 3, 3, 2, 4, 4, 2, 4, 4, 2, 1, 2, 3, 2, 4, 3, 3, 1, 2]",45,5.481
RESC_A_a45.2548,int4,c4,c4_val_817,"[1, 2, 3, 3, 3, 2, 2, 2, 1, 4, 6, 2, 3, 5, 3, 3, 2, 4, 1, 3, 2, 2, 2, 3, 4, 2, 2, 2, 3, 4, 5, 1, 3, 2, 3, 4, 5, 6, 3, 3, 4, 6, 3]",43,5.235
RESC_A_a45.2548,int4,c4,c4_val_818,"[1, 2, 3, 4, 2, 2, 4, 2, 4, 4, 4, 2, 3, 3, 6, 2, 3, 2, 3, 4, 3, 5, 3, 2, 5, 3, 3, 4, 2, 2, 2, 3, 3, 2, 4, 4, 2, 2, 3, 1, 1, 4, 3, 4]",44,5.423
RESC_A_a45.2548,int4,c4,c4_val_819,"[3, 4, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 4, 3, 3, 3, 4, 5, 4, 3, 4, 3, 3, 3, 1, 3, 2, 3, 2, 4, 3, 1, 3, 2, 2, 2, 4, 4, 2, 5, 3, 4]",42,5.153
