tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SRT_FP16,int4,gsm8k,gsm8k_test_0,"[1, 2, 5, 3, 4, 5, 3, 5, 3, 4, 6, 1, 6, 4, 3, 2, 4, 3, 2, 3, 4, 4, 1, 2, 2, 3, 3, 3, 6, 5, 2, 5, 2, 2, 4, 2, 6, 4]",38,7.053
SRT_FP16,int4,gsm8k,gsm8k_test_1,"[3, 3, 6, 3, 4, 6, 6, 3, 6, 5, 1, 6, 4, 4, 3, 2, 6, 6, 3, 1, 4, 2, 2, 6, 4, 5, 5, 3, 5, 3, 4, 3, 5]",33,5.222
SRT_FP16,int4,gsm8k,gsm8k_test_2,"[3, 3, 6, 3, 4, 4, 4, 3, 2, 6, 6, 6, 2, 3, 4, 3, 5, 3, 6, 4, 6, 6, 6, 5, 2, 1, 5, 6, 3, 6, 3]",31,4.601
SRT_FP16,int4,gsm8k,gsm8k_test_3,"[3, 6, 4, 4, 4, 5, 5, 3, 4, 6, 5, 2, 6, 5, 1, 4, 4, 4, 3, 3, 1, 2, 6, 3, 4, 4, 4, 6, 2, 6, 6, 3]",32,4.553
SRT_FP16,int4,gsm8k,gsm8k_test_4,"[1, 3, 6, 3, 3, 4, 4, 4, 2, 5, 4, 4, 5, 4, 3, 3, 6, 3, 5, 4, 4, 6, 6, 3, 4, 6, 5, 5, 5, 6, 4]",31,4.482
SRT_FP16,int4,gsm8k,gsm8k_test_5,"[6, 5, 3, 5, 6, 5, 4, 2, 4, 2, 2, 6, 1, 6, 3, 4, 4, 6, 6, 4, 4, 2, 5, 6, 4, 1, 6, 6, 6, 6]",30,4.26
SRT_FP16,int4,gsm8k,gsm8k_test_6,"[3, 6, 3, 5, 6, 2, 4, 6, 2, 4, 3, 4, 3, 6, 2, 3, 6, 3, 6, 3, 4, 1, 5, 6, 5, 6, 6, 2, 4, 6, 4]",31,4.395
SRT_FP16,int4,gsm8k,gsm8k_test_7,"[1, 2, 3, 4, 5, 5, 6, 4, 3, 4, 2, 4, 6, 4, 4, 6, 6, 4, 4, 1, 6, 4, 4, 3, 6, 4, 3, 3, 2, 3, 5, 2, 4, 4]",34,4.798
SRT_FP16,int4,gsm8k,gsm8k_test_8,"[3, 2, 4, 4, 2, 4, 3, 6, 4, 6, 4, 6, 4, 3, 3, 4, 6, 4, 3, 5, 2, 4, 4, 1, 5, 5, 5, 4, 5, 4, 4, 3, 1, 6]",34,4.836
SRT_FP16,int4,gsm8k,gsm8k_test_9,"[6, 5, 3, 4, 3, 4, 4, 2, 6, 6, 2, 6, 4, 6, 6, 3, 4, 2, 6, 5, 6, 6, 4, 6, 4, 5, 4, 3, 4]",29,4.112
SRT_FP16,int4,gsm8k,gsm8k_test_10,"[6, 5, 3, 4, 3, 4, 5, 3, 2, 4, 3, 5, 1, 2, 3, 6, 4, 4, 4, 4, 2, 4, 6, 4, 6, 4, 5, 5, 2, 4, 6, 5]",32,4.486
SRT_FP16,int4,gsm8k,gsm8k_test_11,"[3, 6, 3, 4, 3, 4, 4, 6, 4, 4, 4, 6, 4, 2, 6, 6, 3, 4, 6, 4, 6, 6, 5, 2, 1, 3, 6, 4, 6, 6]",30,4.266
SRT_FP16,int4,gsm8k,gsm8k_test_12,"[3, 4, 5, 3, 3, 4, 3, 2, 2, 3, 2, 5, 4, 4, 6, 3, 3, 4, 4, 2, 2, 4, 6, 3, 2, 2, 6, 3, 3, 2, 5, 4, 5, 5, 1, 5, 3]",37,5.161
SRT_FP16,int4,gsm8k,gsm8k_test_13,"[6, 5, 4, 3, 3, 4, 5, 3, 3, 3, 5, 3, 3, 3, 6, 3, 3, 4, 3, 3, 4, 6, 5, 4, 6, 5, 5, 1, 6, 6, 3, 4]",32,4.506
SRT_FP16,int4,gsm8k,gsm8k_test_14,"[3, 6, 3, 4, 3, 4, 5, 5, 3, 2, 4, 2, 6, 1, 4, 1, 4, 2, 4, 6, 6, 6, 3, 4, 4, 4, 6, 4, 1, 2, 6, 6, 6]",33,4.616
SRT_FP16,int4,gsm8k,gsm8k_test_15,"[6, 5, 4, 4, 4, 4, 4, 5, 4, 3, 5, 3, 4, 1, 4, 4, 6, 4, 5, 6, 6, 3, 6, 4, 5, 2, 5, 3, 2, 3, 1, 4]",32,4.5
SRT_FP16,int4,gsm8k,gsm8k_test_16,"[3, 6, 3, 4, 3, 3, 5, 3, 6, 3, 4, 4, 2, 4, 2, 4, 2, 5, 3, 2, 4, 1, 5, 3, 5, 2, 2, 6, 6, 3, 5, 4, 2, 2, 4, 2, 2]",37,4.085
SRT_FP16,int4,gsm8k,gsm8k_test_17,"[1, 2, 2, 6, 4, 3, 6, 4, 4, 2, 4, 6, 4, 5, 6, 4, 3, 6, 6, 3, 3, 3, 4, 5, 4, 6, 6, 6, 4, 6]",30,3.201
SRT_FP16,int4,gsm8k,gsm8k_test_18,"[3, 6, 4, 1, 6, 5, 2, 4, 6, 5, 4, 4, 4, 4, 4, 4, 5, 4, 2, 4, 3, 5, 3, 3, 4, 3, 5, 6, 6, 2, 4, 3]",32,3.411
SRT_FP16,int4,gsm8k,gsm8k_test_19,"[3, 4, 3, 4, 6, 3, 5, 2, 4, 3, 4, 6, 1, 6, 5, 2, 2, 5, 4, 4, 6, 4, 6, 5, 4, 4, 5, 6, 6, 4, 6]",31,3.291
SRT_FP16,int4,gsm8k,gsm8k_test_20,"[3, 4, 3, 2, 4, 4, 2, 2, 6, 6, 4, 2, 6, 4, 4, 4, 5, 6, 1, 5, 4, 6, 4, 4, 4, 4, 1, 5, 3, 4, 4, 6, 6]",33,3.498
SRT_FP16,int4,gsm8k,gsm8k_test_21,"[3, 6, 3, 3, 4, 4, 3, 5, 4, 4, 1, 3, 4, 3, 6, 4, 3, 3, 4, 5, 6, 5, 3, 2, 6, 4, 6, 6, 5, 5, 5]",31,3.303
SRT_FP16,int4,gsm8k,gsm8k_test_22,"[3, 3, 4, 2, 5, 3, 4, 2, 4, 3, 4, 6, 3, 2, 6, 4, 6, 3, 3, 4, 4, 5, 6, 6, 5, 6, 6, 5, 6, 5]",30,3.179
SRT_FP16,int4,gsm8k,gsm8k_test_23,"[1, 6, 6, 3, 3, 3, 6, 5, 5, 6, 6, 3, 4, 5, 6, 6, 4, 1, 6, 4, 4, 3, 6, 6, 5, 5, 2, 2, 4, 6]",30,3.189
SRT_FP16,int4,gsm8k,gsm8k_test_24,"[2, 6, 6, 5, 5, 3, 5, 4, 3, 3, 3, 2, 5, 4, 6, 3, 4, 4, 2, 3, 5, 6, 6, 6, 6, 4, 4, 2, 4, 4, 6]",31,3.333
SRT_FP16,int4,gsm8k,gsm8k_test_25,"[1, 2, 4, 5, 4, 4, 2, 3, 4, 3, 6, 5, 4, 4, 6, 4, 1, 1, 4, 6, 4, 4, 4, 4, 6, 6, 6, 6, 4, 6, 2, 5]",32,3.404
SRT_FP16,int4,gsm8k,gsm8k_test_26,"[6, 5, 5, 4, 5, 6, 4, 5, 5, 6, 2, 6, 5, 2, 1, 2, 2, 5, 4, 4, 1, 6, 6, 6, 3, 5, 5, 3, 3, 6]",30,3.179
SRT_FP16,int4,gsm8k,gsm8k_test_27,"[1, 2, 4, 3, 4, 6, 4, 5, 3, 5, 3, 4, 6, 1, 3, 4, 3, 3, 2, 2, 6, 4, 4, 4, 4, 6, 4, 6, 5, 3, 3, 4, 5, 5]",34,3.599
SRT_FP16,int4,gsm8k,gsm8k_test_28,"[2, 6, 5, 3, 5, 5, 2, 4, 5, 6, 2, 6, 3, 6, 4, 6, 6, 6, 2, 4, 4, 3, 4, 2, 2, 4, 6, 2, 4, 4, 4, 6]",32,3.383
SRT_FP16,int4,gsm8k,gsm8k_test_29,"[1, 2, 4, 1, 2, 1, 4, 2, 6, 4, 2, 4, 3, 5, 4, 2, 6, 2, 2, 5, 4, 4, 5, 6, 4, 6, 4, 6, 2, 6, 6, 3, 2, 6, 4]",35,3.693
SRT_FP16,int4,gsm8k,gsm8k_test_30,"[3, 6, 3, 3, 2, 4, 2, 3, 4, 6, 4, 2, 4, 5, 1, 6, 6, 3, 6, 4, 4, 5, 4, 2, 6, 3, 1, 6, 2, 4, 4, 4, 6]",33,3.487
SRT_FP16,int4,gsm8k,gsm8k_test_31,"[3, 6, 3, 3, 5, 3, 2, 2, 6, 6, 2, 5, 6, 4, 5, 4, 3, 4, 4, 6, 6, 6, 5, 5, 6, 3, 3, 4, 6, 6]",30,3.178
SRT_FP16,int4,gsm8k,gsm8k_test_32,"[2, 6, 5, 3, 3, 3, 3, 4, 3, 6, 4, 3, 4, 3, 4, 4, 2, 3, 3, 5, 2, 2, 5, 3, 6, 4, 3, 6, 3, 1, 3, 5, 4, 4, 2, 4]",36,3.834
SRT_FP16,int4,gsm8k,gsm8k_test_33,"[3, 6, 3, 3, 2, 4, 4, 6, 4, 3, 4, 3, 5, 4, 5, 6, 3, 6, 3, 4, 6, 4, 5, 6, 6, 6, 3, 5, 6]",29,3.101
SRT_FP16,int4,gsm8k,gsm8k_test_34,"[6, 5, 4, 3, 3, 4, 4, 5, 3, 4, 3, 5, 6, 6, 6, 5, 6, 5, 5, 6, 6, 3, 3, 4, 6, 3, 4, 2, 2, 3]",30,3.17
SRT_FP16,int4,gsm8k,gsm8k_test_35,"[3, 6, 3, 4, 3, 4, 2, 4, 2, 3, 4, 4, 6, 5, 5, 6, 3, 5, 4, 6, 4, 2, 3, 4, 6, 5, 6, 6, 6, 2, 4]",31,3.277
SRT_FP16,int4,gsm8k,gsm8k_test_36,"[1, 4, 6, 2, 3, 3, 3, 6, 3, 6, 4, 4, 3, 6, 3, 3, 3, 2, 5, 6, 4, 3, 4, 3, 2, 4, 3, 4, 5, 3, 4, 6, 1, 2, 2, 4]",36,3.846
SRT_FP16,int4,gsm8k,gsm8k_test_37,"[3, 3, 4, 2, 5, 1, 3, 6, 3, 6, 2, 3, 6, 4, 4, 4, 6, 6, 3, 5, 2, 2, 4, 3, 6, 6, 6, 6, 6, 5, 1, 5]",32,3.401
SRT_FP16,int4,gsm8k,gsm8k_test_38,"[3, 6, 4, 4, 4, 2, 1, 5, 3, 5, 3, 2, 6, 4, 4, 4, 6, 6, 2, 4, 5, 3, 4, 4, 6, 4, 6, 5, 5, 4, 2, 6]",32,3.408
SRT_FP16,int4,gsm8k,gsm8k_test_39,"[1, 2, 2, 5, 3, 4, 3, 6, 4, 3, 4, 6, 6, 3, 6, 6, 6, 3, 5, 4, 4, 2, 6, 6, 4, 5, 6, 5, 6, 4]",30,3.2
SRT_FP16,int4,gsm8k,gsm8k_test_40,"[6, 5, 3, 4, 6, 3, 5, 3, 4, 3, 6, 6, 4, 4, 2, 4, 6, 4, 5, 5, 6, 1, 1, 3, 4, 4, 6, 6, 6, 4]",30,3.198
SRT_FP16,int4,gsm8k,gsm8k_test_41,"[3, 3, 5, 3, 4, 3, 5, 5, 4, 4, 6, 4, 2, 3, 6, 5, 2, 4, 6, 6, 4, 3, 5, 6, 6, 5, 6, 6, 5]",29,3.108
SRT_FP16,int4,gsm8k,gsm8k_test_42,"[3, 6, 4, 4, 4, 4, 1, 5, 3, 4, 4, 2, 5, 5, 4, 4, 2, 4, 2, 3, 6, 4, 3, 4, 3, 3, 3, 4, 4, 6, 2, 4, 5, 6]",34,3.615
