tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SRT_FP16,int4,mtbench,81,"[3, 3, 4, 4, 3, 2, 4, 5, 6, 4, 1, 5, 2, 3, 2, 4, 2, 6, 2, 3, 6, 3, 5, 6, 6, 4, 3, 4, 6, 1, 4, 4, 4, 4]",34,5.574
SRT_FP16,int4,mtbench,82,"[6, 2, 4, 6, 5, 6, 5, 6, 3, 4, 5, 6, 1, 3, 3, 1, 5, 3, 5, 6, 4, 6, 1, 3, 2, 3, 3, 6, 6, 4, 3, 4]",32,4.93
SRT_FP16,int4,mtbench,83,"[4, 5, 4, 6, 4, 6, 5, 3, 4, 4, 6, 4, 1, 1, 5, 2, 2, 4, 2, 3, 3, 2, 2, 5, 1, 4, 2, 4, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 2, 4]",40,6.388
SRT_FP16,int4,mtbench,84,"[4, 2, 3, 4, 6, 5, 6, 6, 4, 6, 6, 2, 4, 4, 3, 1, 1, 2, 2, 6, 4, 4, 5, 2, 3, 6, 6, 4, 6, 5, 1, 3, 6]",33,4.094
SRT_FP16,int4,mtbench,85,"[6, 6, 6, 2, 2, 4, 1, 3, 4, 2, 2, 1, 4, 5, 3, 4, 2, 3, 4, 2, 5, 4, 1, 4, 1, 4, 3, 4, 2, 1, 1, 1, 4, 2, 4, 2, 4, 2, 6, 3, 2, 3]",42,4.682
SRT_FP16,int4,mtbench,86,"[2, 4, 6, 3, 5, 4, 5, 2, 3, 4, 2, 4, 2, 2, 2, 1, 3, 1, 3, 3, 4, 2, 2, 3, 2, 2, 4, 5, 3, 2, 4, 4, 1, 3, 3, 2, 3, 3, 1, 3, 2, 5, 2, 4]",44,4.824
SRT_FP16,int4,mtbench,87,"[2, 4, 5, 6, 5, 2, 4, 3, 3, 3, 4, 2, 1, 4, 4, 4, 1, 1, 2, 4, 5, 3, 3, 2, 3, 2, 2, 2, 4, 2, 2, 2, 4, 3, 4, 5, 5, 2, 2, 3, 4]",41,4.441
SRT_FP16,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 4, 3, 3, 5, 1, 1, 3, 4, 2, 6, 1, 4, 2, 1, 5, 3, 2, 3, 4, 4, 3, 3, 3, 5, 6, 4, 3, 2, 5, 3, 2, 3, 2, 3, 4, 2, 4]",43,4.687
SRT_FP16,int4,mtbench,89,"[1, 5, 6, 3, 6, 5, 5, 3, 2, 6, 4, 4, 3, 4, 5, 4, 4, 5, 4, 2, 3, 5, 4, 3, 5, 3, 3, 2, 1, 1, 4, 1, 6, 6]",34,3.706
SRT_FP16,int4,mtbench,90,"[1, 3, 3, 4, 3, 2, 5, 2, 3, 3, 3, 4, 5, 3, 4, 3, 3, 6, 2, 4, 4, 2, 2, 2, 1, 3, 4, 2]",28,3.088
SRT_FP16,int4,mtbench,91,"[1, 4, 4, 4, 3, 2, 3, 4, 3, 5, 2, 4, 1, 3, 4, 1, 2, 3, 2, 2, 1, 4, 3, 2, 6, 2, 4, 4, 4, 1, 2, 2, 4, 3, 3, 2, 1, 4, 3, 4, 1, 2, 4, 4, 6]",45,4.905
SRT_FP16,int4,mtbench,92,"[3, 3, 3, 3, 3, 3, 2, 5, 4, 4, 4, 2, 2, 1, 1, 3, 2, 3, 3, 4, 2, 1, 4, 6, 4, 4, 2, 6, 2, 1, 3, 3, 3, 4, 2, 4, 3, 3, 4, 4, 4, 1]",42,4.58
SRT_FP16,int4,mtbench,93,"[4, 6, 4, 3, 2, 6, 3, 6, 4, 3, 3, 5, 4, 2, 3, 1, 4, 3, 1, 4, 2, 4, 6, 4, 3, 4, 2, 5, 4, 6, 5, 5, 4, 5]",34,3.747
SRT_FP16,int4,mtbench,94,"[6, 5, 2, 2, 3, 4, 2, 3, 5, 6, 2, 4, 6, 4, 2, 4, 6, 4, 4, 6, 1, 5, 4, 4]",24,2.661
