tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SRT_RESCUE,int4,gsm8k,gsm8k_test_0,"[1, 2, 4, 4, 2, 1, 3, 3, 4, 3, 4, 5, 4, 6, 1, 6, 4, 3, 2, 2, 3, 4, 4, 3, 3, 5, 4, 2, 2, 3, 2, 4, 2, 5, 4, 2, 5, 2, 1, 2, 4]",41,5.74
SRT_RESCUE,int4,gsm8k,gsm8k_test_1,"[2, 4, 6, 2, 3, 1, 4, 3, 3, 4, 2, 4, 6, 4, 4, 4, 6, 5, 2, 2, 1, 2, 3, 4, 3, 3, 3, 1, 4, 2, 2, 4, 4, 2, 4, 5, 4, 3, 4]",39,5.363
SRT_RESCUE,int4,gsm8k,gsm8k_test_2,"[1, 2, 2, 3, 4, 2, 3, 2, 3, 4, 3, 4, 2, 4, 6, 4, 2, 4, 4, 4, 2, 2, 1, 2, 1, 4, 4, 3, 4, 4, 5, 4, 4, 4, 3, 1, 4, 3, 4, 3, 2, 5]",42,5.383
SRT_RESCUE,int4,gsm8k,gsm8k_test_3,"[3, 4, 4, 3, 4, 3, 3, 3, 4, 2, 4, 1, 2, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 5, 6, 2, 1, 4, 4, 4, 4, 4, 5, 6, 6]",35,4.477
SRT_RESCUE,int4,gsm8k,gsm8k_test_4,"[1, 2, 4, 5, 3, 1, 3, 3, 3, 3, 2, 4, 1, 2, 4, 2, 4, 4, 2, 3, 4, 2, 4, 4, 4, 3, 4, 3, 3, 2, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 1, 2, 4]",43,5.489
SRT_RESCUE,int4,gsm8k,gsm8k_test_5,"[5, 6, 4, 3, 3, 4, 4, 2, 4, 5, 5, 4, 3, 2, 5, 4, 3, 2, 6, 6, 2, 4, 4, 4, 2, 6, 2, 2, 3, 5, 3, 4, 6, 4]",34,4.369
SRT_RESCUE,int4,gsm8k,gsm8k_test_6,"[2, 3, 4, 3, 4, 3, 4, 2, 2, 5, 3, 2, 5, 2, 3, 1, 2, 3, 3, 4, 6, 3, 3, 3, 6, 3, 1, 5, 3, 2, 1, 6, 6, 2, 4, 4, 4, 4, 3]",39,5.014
SRT_RESCUE,int4,gsm8k,gsm8k_test_7,"[1, 2, 1, 6, 5, 3, 3, 4, 3, 4, 2, 4, 1, 2, 4, 5, 2, 4, 6, 1, 1, 3, 3, 4, 4, 3, 3, 2, 1, 2, 4, 4, 1, 4, 4, 3, 4, 2, 2, 3, 3, 4, 6]",43,5.468
SRT_RESCUE,int4,gsm8k,gsm8k_test_8,"[2, 4, 2, 2, 3, 1, 4, 4, 1, 1, 4, 3, 2, 6, 5, 3, 3, 3, 5, 6, 4, 2, 4, 2, 2, 5, 2, 4, 4, 4, 4, 2, 3, 4, 4, 2, 4, 1, 5, 5]",40,5.109
SRT_RESCUE,int4,gsm8k,gsm8k_test_9,"[3, 6, 4, 3, 4, 4, 1, 6, 2, 2, 2, 2, 4, 5, 1, 4, 4, 3, 4, 1, 4, 5, 1, 3, 2, 3, 3, 3, 6, 3, 5, 4, 3, 6, 2, 3, 4, 6]",38,4.828
