family,dataset,tau_a,tau_b,delta,ci_lo,ci_hi,p
P1_ctrl_vs_fp16,mtbench,3.2795,3.6626,0.3832,0.3106,0.4537,0.0
P1_ctrl_vs_fp16,gsm8k,3.6586,4.0225,0.3638,0.3182,0.4108,0.0
P1_ctrl_vs_fp16,sharegpt,3.2718,3.7378,0.466,0.3846,0.5465,0.0
P1_ctrl_vs_fp16,humaneval,3.8466,4.1842,0.3376,0.2793,0.3939,0.0
P2_fp16_vs_w8a8rtn,mtbench,3.6626,3.5372,-0.1255,-0.1822,-0.0675,0.0
P2_fp16_vs_w8a8rtn,gsm8k,4.0225,3.9151,-0.1074,-0.1495,-0.0656,0.0
P2_fp16_vs_w8a8rtn,sharegpt,3.7378,3.6035,-0.1343,-0.195,-0.0758,0.0
P2_fp16_vs_w8a8rtn,humaneval,4.1842,4.0759,-0.1083,-0.1581,-0.0593,0.0
P3_w8a8rtn_vs_sq,mtbench,3.5372,3.5009,-0.0363,-0.0985,0.0263,0.257
P3_w8a8rtn_vs_sq,gsm8k,3.9151,3.8763,-0.0388,-0.0783,0.0005,0.053
P3_w8a8rtn_vs_sq,sharegpt,3.6035,3.637,0.0336,-0.0338,0.1054,0.3412
P3_w8a8rtn_vs_sq,humaneval,4.0759,4.0314,-0.0446,-0.0897,0.0014,0.0582
P4_fp16_vs_w4a4rtn,mtbench,3.6626,1.2249,-2.4377,-2.5346,-2.3428,0.0
P4_fp16_vs_w4a4rtn,gsm8k,4.0225,1.2683,-2.7542,-2.796,-2.7123,0.0
P4_fp16_vs_w4a4rtn,sharegpt,3.7378,1.2136,-2.5242,-2.6152,-2.4327,0.0
P4_fp16_vs_w4a4rtn,humaneval,4.1842,1.3092,-2.875,-2.929,-2.8209,0.0
P5_rtn_vs_had,mtbench,1.2249,1.2712,0.0462,0.0341,0.0581,0.0
P5_rtn_vs_had,gsm8k,1.2683,1.3158,0.0475,0.0384,0.0569,0.0
P5_rtn_vs_had,sharegpt,1.2136,1.2558,0.0421,0.028,0.0566,0.0
P5_rtn_vs_had,humaneval,1.3092,1.3097,0.0005,-0.0112,0.0122,0.933
P6_had_vs_sq,mtbench,1.2712,1.3478,0.0766,0.0583,0.0959,0.0
P6_had_vs_sq,gsm8k,1.3158,1.3902,0.0744,0.0649,0.0838,0.0
P6_had_vs_sq,sharegpt,1.2558,1.3423,0.0865,0.0713,0.1021,0.0
P6_had_vs_sq,humaneval,1.3097,1.4473,0.1376,0.1253,0.1508,0.0
P7_sq_vs_rescue,mtbench,1.3478,3.2197,1.8719,1.7884,1.9584,0.0
P7_sq_vs_rescue,gsm8k,1.3902,3.5478,2.1576,2.1207,2.1942,0.0
P7_sq_vs_rescue,sharegpt,1.3423,3.2687,1.9264,1.843,2.0058,0.0
P7_sq_vs_rescue,humaneval,1.4473,3.7587,2.3115,2.2652,2.3588,0.0
