family,dataset,delta,ci_lo,ci_hi,p,holm_sig
P1_ctrl_vs_fp16,mtbench,0.3832,0.3106,0.4537,0.0001,True
P1_ctrl_vs_fp16,gsm8k,0.3638,0.3182,0.4108,0.0001,True
P1_ctrl_vs_fp16,sharegpt,0.466,0.3846,0.5465,0.0001,True
P1_ctrl_vs_fp16,humaneval,0.3376,0.2793,0.3939,0.0001,True
P2_fp16_vs_w8a8rtn,mtbench,-0.1255,-0.1822,-0.0675,0.0001,True
P2_fp16_vs_w8a8rtn,gsm8k,-0.1074,-0.1495,-0.0656,0.0001,True
P2_fp16_vs_w8a8rtn,sharegpt,-0.1343,-0.195,-0.0758,0.0001,True
P2_fp16_vs_w8a8rtn,humaneval,-0.1083,-0.1581,-0.0593,0.0001,True
P3_w8a8rtn_vs_sq,mtbench,-0.0363,-0.0985,0.0263,0.257,False
P3_w8a8rtn_vs_sq,gsm8k,-0.0388,-0.0783,0.0005,0.053,False
P3_w8a8rtn_vs_sq,sharegpt,0.0336,-0.0338,0.1054,0.3412,False
P3_w8a8rtn_vs_sq,humaneval,-0.0446,-0.0897,0.0014,0.0582,False
P4_fp16_vs_w4a4rtn,mtbench,-2.4377,-2.5346,-2.3428,0.0001,True
P4_fp16_vs_w4a4rtn,gsm8k,-2.7542,-2.796,-2.7123,0.0001,True
P4_fp16_vs_w4a4rtn,sharegpt,-2.5242,-2.6152,-2.4327,0.0001,True
P4_fp16_vs_w4a4rtn,humaneval,-2.875,-2.929,-2.8209,0.0001,True
P5_rtn_vs_had,mtbench,0.0462,0.0341,0.0581,0.0001,True
P5_rtn_vs_had,gsm8k,0.0475,0.0384,0.0569,0.0001,True
P5_rtn_vs_had,sharegpt,0.0421,0.028,0.0566,0.0001,True
P5_rtn_vs_had,humaneval,0.0005,-0.0112,0.0122,0.933,False
P6_had_vs_sq,mtbench,0.0766,0.0583,0.0959,0.0001,True
P6_had_vs_sq,gsm8k,0.0744,0.0649,0.0838,0.0001,True
P6_had_vs_sq,sharegpt,0.0865,0.0713,0.1021,0.0001,True
P6_had_vs_sq,humaneval,0.1376,0.1253,0.1508,0.0001,True
P7_sq_vs_rescue,mtbench,1.8719,1.7884,1.9584,0.0001,True
P7_sq_vs_rescue,gsm8k,2.1576,2.1207,2.1942,0.0001,True
P7_sq_vs_rescue,sharegpt,1.9264,1.843,2.0058,0.0001,True
P7_sq_vs_rescue,humaneval,2.3115,2.2652,2.3588,0.0001,True
